540
# The above line gives a number >= max number of PMTs in this file
# The rest of this file contains PMT coordinates
# face is 0 for top, 1 for side, 2 for bottom
# meaning of fields as indicated on next line:
#face  ring  index_no    x       y        z     size
# top
#    1     7   164    -2292    -1168     1575  8
#    1     7   165    -1999    -1619     1575  8
#    1     7   166    -1619    -1999     1575  8
#    1     7   167    -1168    -2292     1575  8
#    1     7   168     -666    -2485     1575  8
#    1     7   169     -135    -2569     1575  8
#    1     7   170      402    -2541     1575  8
#    1     7   171      922    -2402     1575  8
#    1     7   172     1401    -2158     1575  8
#    1     7   173     1819    -1819     1575  8
#    1     7   174     2158    -1401     1575  8
#    1     7   175     2402     -922     1575  8
#    1     7   176     2541     -402     1575  8
#    1     8   177     2541      402     1125  8
#    1     8   178     2402      922     1125  8
#    1     8   179     2158     1401     1125  8
#    1     8   180     1819     1819     1125  8
#    1     8   181     1401     2158     1125  8
#    1     8   182      922     2402     1125  8
#    1     8   183      402     2541     1125  8
#    1     8   184     -135     2569     1125  8
#    1     8   185     -666     2485     1125  8
#    1     8   186    -1168     2292     1125  8
#    1     8   187    -1619     1999     1125  8
#    1     8   188    -1999     1619     1125  8
#    1     8   189    -2292     1168     1125  8
#    1     8   190    -2485      666     1125  8
#    1     8   191    -2569      135     1125  8
#    1     8   192    -2541     -402     1125  8
#    1     8   193    -2402     -922     1125  8
#    1     8   194    -2158    -1401     1125  8
#    1     8   195    -1819    -1819     1125  8
#    1     8   196    -1401    -2158     1125  8
#    1     8   197     -922    -2402     1125  8
#    1     8   198     -402    -2541     1125  8
#    1     8   199      135    -2569     1125  8
#    1     8   200      666    -2485     1125  8
#    1     8   201     1168    -2292     1125  8
#    1     8   202     1619    -1999     1125  8
#    1     8   203     1999    -1619     1125  8
#    1     8   204     2292    -1168     1125  8
#    1     8   205     2485     -666     1125  8
#    1     8   206     2569     -135     1125  8
#    1     9   207     2569      135      675  8
#    1     9   208     2485      666      675  8
#    1     9   209     2292     1168      675  8
#    1     9   210     1999     1619      675  8
#    1     9   211     1619     1999      675  8
#    1     9   212     1168     2292      675  8
#    1     9   213      666     2485      675  8
#    1     9   214      135     2569      675  8
#    1     9   215     -402     2541      675  8
#    1     9   216     -922     2402      675  8
#    1     9   217    -1401     2158      675  8
#    1     9   218    -1819     1819      675  8
#    1     9   219    -2158     1401      675  8
#    1     9   220    -2402      922      675  8
#    1     9   221    -2541      402      675  8
#    1     9   222    -2569     -135      675  8
#    1     9   223    -2485     -666      675  8
#    1     9   224    -2292    -1168      675  8
#    1     9   225    -1999    -1619      675  8
#    1     9   226    -1619    -1999      675  8
#    1     9   227    -1168    -2292      675  8
#    1     9   228     -666    -2485      675  8
#    1     9   229     -135    -2569      675  8
#    1     9   230      402    -2541      675  8
#    1     9   231      922    -2402      675  8
#    1     9   232     1401    -2158      675  8
#    1     9   233     1819    -1819      675  8
#    1     9   234     2158    -1401      675  8
#    1     9   235     2402     -922      675  8
#    1     9   236     2541     -402      675  8
#    1    10   237     2541      402      225  8
#    1    10   238     2402      922      225  8
#    1    10   239     2158     1401      225  8
#    1    10   240     1819     1819      225  8
#    1    10   241     1401     2158      225  8
#    1    10   242      922     2402      225  8
#    1    10   243      402     2541      225  8
#    1    10   244     -135     2569      225  8
#    1    10   245     -666     2485      225  8
#    1    10   246    -1168     2292      225  8
#    1    10   247    -1619     1999      225  8
#    1    10   248    -1999     1619      225  8
#    1    10   249    -2292     1168      225  8
#    1    10   250    -2485      666      225  8
#    1    10   251    -2569      135      225  8
#    1    10   252    -2541     -402      225  8
#    1    10   253    -2402     -922      225  8
#    1    10   254    -2158    -1401      225  8
#    1    10   255    -1819    -1819      225  8
#    1    10   256    -1401    -2158      225  8
#    1    10   257     -922    -2402      225  8
#    1    10   258     -402    -2541      225  8
#    1    10   259      135    -2569      225  8
#    1    10   260      666    -2485      225  8
#    1    10   261     1168    -2292      225  8
#    1    10   262     1619    -1999      225  8
#    1    10   263     1999    -1619      225  8
#    1    10   264     2292    -1168      225  8
#    1    10   265     2485     -666      225  8
#    1    10   266     2569     -135      225  8
#    1    11   267     2569      135     -225  8
#    1    11   268     2485      666     -225  8
#    1    11   269     2292     1168     -225  8
#    1    11   270     1999     1619     -225  8
#    1    11   271     1619     1999     -225  8
#    1    11   272     1168     2292     -225  8
#    1    11   273      666     2485     -225  8
#    1    11   274      135     2569     -225  8
#    1    11   275     -402     2541     -225  8
#    1    11   276     -922     2402     -225  8
#    1    11   277    -1401     2158     -225  8
#    1    11   278    -1819     1819     -225  8
#    1    11   279    -2158     1401     -225  8
#    1    11   280    -2402      922     -225  8
#    1    11   281    -2541      402     -225  8
#    1    11   282    -2569     -135     -225  8
#    1    11   283    -2485     -666     -225  8
#    1    11   284    -2292    -1168     -225  8
#    1    11   285    -1999    -1619     -225  8
#    1    11   286    -1619    -1999     -225  8
#    1    11   287    -1168    -2292     -225  8
#    1    11   288     -666    -2485     -225  8
#    1    11   289     -135    -2569     -225  8
#    1    11   290      402    -2541     -225  8
#    1    11   291      922    -2402     -225  8
#    1    11   292     1401    -2158     -225  8
#    1    11   293     1819    -1819     -225  8
#    1    11   294     2158    -1401     -225  8
#    1    11   295     2402     -922     -225  8
#    1    11   296     2541     -402     -225  8
#    1    12   297     2541      402     -675  8
#    1    12   298     2402      922     -675  8
#    1    12   299     2158     1401     -675  8
#    1    12   300     1819     1819     -675  8
#    1    12   301     1401     2158     -675  8
#    1    12   302      922     2402     -675  8
#    1    12   303      402     2541     -675  8
#    1    12   304     -135     2569     -675  8
#    1    12   305     -666     2485     -675  8
#    1    12   306    -1168     2292     -675  8
#    1    12   307    -1619     1999     -675  8
#    1    12   308    -1999     1619     -675  8
#    1    12   309    -2292     1168     -675  8
#    1    12   310    -2485      666     -675  8
#    1    12   311    -2569      135     -675  8
#    1    12   312    -2541     -402     -675  8
#    1    12   313    -2402     -922     -675  8
#    1    12   314    -2158    -1401     -675  8
#    1    12   315    -1819    -1819     -675  8
#    1    12   316    -1401    -2158     -675  8
#    1    12   317     -922    -2402     -675  8
#    1    12   318     -402    -2541     -675  8
#    1    12   319      135    -2569     -675  8
#    1    12   320      666    -2485     -675  8
#    1    12   321     1168    -2292     -675  8
#    1    12   322     1619    -1999     -675  8
#    1    12   323     1999    -1619     -675  8
#    1    12   324     2292    -1168     -675  8
#    1    12   325     2485     -666     -675  8
#    1    12   326     2569     -135     -675  8
#    1    13   327     2569      135    -1125  8
#    1    13   328     2485      666    -1125  8
#    1    13   329     2292     1168    -1125  8
#    1    13   330     1999     1619    -1125  8
#    1    13   331     1619     1999    -1125  8
#    1    13   332     1168     2292    -1125  8
#    1    13   333      666     2485    -1125  8
#    1    13   334      135     2569    -1125  8
#    1    13   335     -402     2541    -1125  8
#    1    13   336     -922     2402    -1125  8
#    1    13   337    -1401     2158    -1125  8
#    1    13   338    -1819     1819    -1125  8
#    1    13   339    -2158     1401    -1125  8
#    1    13   340    -2402      922    -1125  8
#    1    13   341    -2541      402    -1125  8
#    1    13   342    -2569     -135    -1125  8
#    1    13   343    -2485     -666    -1125  8
#    1    13   344    -2292    -1168    -1125  8
#    1    13   345    -1999    -1619    -1125  8
#    1    13   346    -1619    -1999    -1125  8
#    1    13   347    -1168    -2292    -1125  8
