480
# The above line gives a number >= max number of PMTs in this file
# The rest of this file contains PMT coordinates
# face is 0 for top, 1 for side, 2 for bottom
# meaning of fields as indicated on next line:
#face  ring  index_no    x       y        z     size
# top
   1       0     161   -8612   -2613   -4500      10
   1       0     162   -7937   -4243   -4500      10
   1       0     163   -6957   -5710   -4500      10
   1       0     164   -5710   -6957   -4500      10
   1       0     165   -4243   -7937   -4500      10
   1       0     166   -2613   -8612   -4500      10
   1       0     167    -882   -8957   -4500      10
   1       0     168     882   -8957   -4500      10
   1       0     169    2613   -8612   -4500      10
   1       0     170    4243   -7937   -4500      10
   1       0     171    5710   -6957   -4500      10
   1       0     172    6957   -5710   -4500      10
   1       0     173    7937   -4243   -4500      10
   1       0     174    8612   -2613   -4500      10
   1       0     175    8957    -882   -4500      10
   1       0     176    9000       0   -2700      10
   1       0     177    8827    1756   -2700      10
   1       0     178    8315    3444   -2700      10
   1       0     179    7483    5000   -2700      10
   1       0     180    6364    6364   -2700      10
   1       0     181    5000    7483   -2700      10
   1       0     182    3444    8315   -2700      10
   1       0     183    1756    8827   -2700      10
   1       0     184       0    9000   -2700      10
   1       0     185   -1756    8827   -2700      10
   1       0     186   -3444    8315   -2700      10
   1       0     187   -5000    7483   -2700      10
   1       0     188   -6364    6364   -2700      10
   1       0     189   -7483    5000   -2700      10
   1       0     190   -8315    3444   -2700      10
   1       0     191   -8827    1756   -2700      10
   1       0     192   -9000       0   -2700      10
   1       0     193   -8827   -1756   -2700      10
   1       0     194   -8315   -3444   -2700      10
   1       0     195   -7483   -5000   -2700      10
   1       0     196   -6364   -6364   -2700      10
   1       0     197   -5000   -7483   -2700      10
   1       0     198   -3444   -8315   -2700      10
   1       0     199   -1756   -8827   -2700      10
   1       0     200      -0   -9000   -2700      10
   1       0     201    1756   -8827   -2700      10
   1       0     202    3444   -8315   -2700      10
   1       0     203    5000   -7483   -2700      10
   1       0     204    6364   -6364   -2700      10
   1       0     205    7483   -5000   -2700      10
   1       0     206    8315   -3444   -2700      10
   1       0     207    8827   -1756   -2700      10
   1       0     208    8957     882    -900      10
   1       0     209    8612    2613    -900      10
